,BCH-USD,BTC-USD,ETH-USD,LTC-USD,cash_balance,crypto_balance,revenue,total_balance,transaction_cost
2018-09-11 12:14:00,10.903203470000012,3.3775017375000003,-10.4031542225,-4.623183037499999,69265.18158863654,28475.677703164292,7.961993557662214,97740.85929180084,0.026693750000000002
2018-09-11 12:15:00,10.903203470000012,3.3775017375000003,-10.4031542225,-3.6231830374999987,69316.96414173684,28432.44134860972,8.546198545723476,97749.40549034656,0.02671375
2018-09-11 12:16:00,10.903203470000012,3.3775017375000003,-10.4031542225,-2.6231830374999987,69370.18281061867,28382.151551140396,2.9288714125154467,97752.33436175907,0.02672
2018-09-11 12:17:00,10.903203470000012,3.3775017375000003,-10.4031542225,-1.6231830374999987,69423.60670778385,28324.5128740196,-4.214779955606281,97748.11958180346,0.02671875
2018-09-11 12:18:00,10.903203470000012,3.3775017375000003,-10.4031542225,-0.6231830374999987,69477.17915351239,28268.938802697423,-2.001625593649356,97746.11795620981,0.0267175
2018-09-11 12:19:00,10.903203470000012,3.3775017375000003,-10.4031542225,0.3768169625000013,69490.15845866667,28254.587937938402,-1.3715596047340588,97744.74639660507,0.02671875
2018-09-11 12:20:00,10.903203470000012,3.3775017375000003,-10.4031542225,1.3768169625000013,69438.25022102892,28300.154369170312,-6.341806405830972,97738.40459019924,0.026695
2018-09-11 12:21:00,10.903203470000012,3.3775017375000003,-10.4031542225,2.3768169625000013,69386.30696589118,28345.40310037362,-6.694523934429016,97731.7100662648,0.0267125
2018-09-11 12:22:00,10.903203470000012,3.3775017375000003,-10.4031542225,3.3768169625000013,69334.581268359,28392.274757645155,-4.8540402606435284,97726.85602600416,0.026733749999999997
2018-09-11 12:23:00,10.903203470000012,3.3775017375000003,-10.4031542225,3.3768169625000013,69335.20545761235,28390.88951888564,-0.7610495061626489,97726.09497649799,0.0
2018-09-11 12:24:00,10.903203470000012,3.3775017375000003,-10.4031542225,3.3768169625000013,69334.68529990122,28389.714951969756,-1.694724627008711,97724.40025187097,0.0
2018-09-11 12:25:00,10.903203470000012,3.3775017375000003,-10.4031542225,3.3768169625000013,69335.049410299,28390.203973063875,0.8531314919070341,97725.25338336288,0.0
2018-09-11 12:26:00,10.903203470000012,3.3775017375000003,-10.4031542225,3.3768169625000013,69335.67359955236,28389.936020530688,0.3562367201618519,97725.60962008305,0.0
2018-09-11 12:27:00,10.903203470000012,3.3775017375000003,-10.4031542225,3.3768169625000013,69337.80624616798,28388.195258303313,0.3918843882354903,97726.00150447129,0.0
2018-09-11 12:28:00,10.903203470000012,3.3775017375000003,-10.4031542225,4.376816962500001,69290.16682396925,28424.181222483705,-11.65345801833893,97714.34804645296,0.026641250000000005
2018-09-11 12:29:00,10.903203470000012,3.3775017375000003,-10.4031542225,5.376816962500001,69244.74958290724,28457.423077789237,-12.175385756482868,97702.17266069648,0.0266225
2018-09-11 12:30:00,10.903203470000012,3.3775017375000003,-10.4031542225,6.376816962500001,69190.64820931945,28519.947630407412,8.423179030376254,97710.59583972686,0.02662125
2018-09-11 12:31:00,10.903203470000012,3.3775017375000003,-10.4031542225,7.376816962500001,69132.96525127487,28577.01025631128,-0.6203321406964638,97709.97550758616,0.0266175
2018-09-11 12:32:00,10.903203470000012,3.3775017375000003,-10.4031542225,8.376816962500001,69076.40412894479,28629.108304075882,-4.463074565484492,97705.51243302067,0.02662875
2018-09-11 12:33:00,10.903203470000012,3.3775017375000003,-10.4031542225,9.376816962500001,69023.6106533848,28684.856970920537,2.955191284666199,97708.46762430534,0.0266175
2018-09-11 12:34:00,10.903203470000012,3.3775017375000003,-10.4031542225,10.376816962500001,68968.33741908253,28739.479160928382,-0.6510442944295745,97707.81658001091,0.026635
2018-09-11 12:35:00,10.903203470000012,3.3775017375000003,-10.4031542225,10.376816962500001,68967.45315097363,28744.001473418386,3.63804438108738,97711.454624392,0.0
2018-09-11 12:36:00,10.903203470000012,3.3775017375000003,-10.4031542225,10.376816962500001,68966.82896172027,28748.1096999804,3.484037308665995,97714.93866170067,0.0
2018-09-11 12:37:00,10.903203470000012,3.3775017375000003,-10.4031542225,10.376816962500001,68965.00840973134,28748.979167576937,-0.9510843923984416,97713.98757730827,0.0
2018-09-11 12:38:00,10.903203470000012,3.3775017375000003,-10.4031542225,10.376816962500001,68956.9459652089,28774.216691015874,17.1750789165008,97731.16265622477,0.0
2018-09-11 12:39:00,10.903203470000012,3.3775017375000003,-10.4031542225,10.376816962500001,68954.29316088215,28796.569365811516,19.699870468900265,97750.86252669367,0.0
2018-09-11 12:40:00,10.903203470000012,2.7819705525000007,-10.4031542225,10.376816962500001,72691.80732367719,25053.578310043264,-5.476892973228641,97745.38563372045,1.8681046527049305
2018-09-11 12:41:00,10.903203470000012,1.7819705525000007,-10.4031542225,10.376816962500001,78963.6915172727,18787.977045012613,6.282928564859791,97751.66856228531,3.1383175
2018-09-11 12:42:00,10.903203470000012,0.7819705525000007,-10.4031542225,10.376816962500001,85235.13675877372,12516.440832009268,-0.0909715023361044,97751.57759078298,3.1391387500000003
2018-09-11 12:43:00,10.903203470000012,0.44189610000000057,-10.4031542225,10.376816962500001,87367.2264178064,10383.772594610396,-0.5785783661905228,97750.9990124168,1.0675408917277849
2018-09-11 12:44:00,10.903203470000012,-0.11066957249999931,-10.4031542225,10.376816962500001,89450.5969826241,8294.153329149964,-6.248700642731101,97744.75031177407,1.7342391051617903
2018-09-11 12:45:00,10.903203470000012,-0.9223042349999996,-10.4031542225,10.376816962500001,84356.3383715504,13390.665421974008,2.253481750343128,97747.00379352442,2.546846669238657
2018-09-11 12:46:00,10.903203470000012,-1.6457571674999998,-10.4031542225,10.376816962500001,79811.15029216527,17930.680307880106,-5.173193479039973,97741.83060004537,2.2699249116514784
2018-09-11 12:47:00,10.903203470000012,-1.8315700699999997,-10.4031542225,10.376816962500001,78653.937616256,19088.548900760914,0.6559169715391094,97742.4865170169,0.5828035622880187
2018-09-11 12:48:00,10.903203470000012,-2.3268100049999996,-10.4031542225,10.376816962500001,75543.19992288775,22199.375859777843,0.08926564868969056,97742.57578266559,1.5534686281080001
2018-09-11 12:49:00,10.903203470000012,-2.5047022249999995,-10.4031542225,10.376816962500001,74421.70592044368,23317.52303591374,-3.346826308170482,97739.22895635742,0.5580414455470251
2018-09-11 12:50:00,10.903203470000012,-3.1260086074999993,-10.4031542225,10.376816962500001,70522.19189412124,27214.556224641106,-2.480837595088534,97736.74811876233,1.9486971800251034
2018-09-11 12:51:00,10.903203470000012,-3.6272359024999994,-10.4031542225,10.376816962500001,67381.27372908848,30352.985519256563,-2.488870417294736,97734.25924834504,1.5720048041155685
2018-09-11 12:52:00,10.903203470000012,-3.6272359024999994,-10.4031542225,10.376816962500001,67401.32731382985,30343.99321524925,11.061280734072104,97745.32052907911,0.0
2018-09-11 12:53:00,10.903203470000012,-3.6272359024999994,-10.4031542225,10.376816962500001,67395.31241115715,30347.264034908476,-2.744083013484434,97742.57644606562,0.0
2018-09-11 12:54:00,10.903203470000012,-3.6272359024999994,-10.4031542225,10.376816962500001,67390.70922028829,30349.047728178077,-2.819497599252201,97739.75694846637,0.0
2018-09-11 12:55:00,10.903203470000012,-3.6272359024999994,-10.4031542225,10.376816962500001,67402.47620206459,30342.125801027738,4.845054625961963,97744.60200309232,0.0
2018-09-11 12:56:00,10.903203470000012,-3.6272359024999994,-10.4031542225,10.376816962500001,67403.27897949799,30341.335281674943,0.012258080606356136,97744.61426117293,0.0
2018-09-11 12:57:00,10.903203470000012,-3.6272359024999994,-10.4031542225,10.376816962500001,67412.65250300935,30336.805488139973,4.843729976386591,97749.45799114932,0.0
2018-09-11 12:58:00,10.903203470000012,-3.6272359024999994,-10.4031542225,10.376816962500001,67420.46770189019,30333.13531498002,4.145025720873035,97753.6030168702,0.0
2018-09-11 12:59:00,10.903203470000012,-3.6272359024999994,-10.4031542225,10.376816962500001,67426.60050418049,30330.406160386152,3.4036476964341054,97757.00666456664,0.0
2018-09-11 13:00:00,10.903203470000012,-3.6272359024999994,-10.4031542225,10.376816962500001,67432.2675572982,30327.391039530452,2.6519322620108974,97759.65859682865,0.0
2018-09-11 13:01:00,10.903203470000012,-3.6272359024999994,-10.4031542225,10.376816962500001,67429.47684183763,30323.716407647185,-6.46534734383234,97753.19324948482,0.0
2018-09-11 13:02:00,10.903203470000012,-3.6272359024999994,-10.4031542225,10.376816962500001,67438.61508354452,30319.09935060774,4.521184667433043,97757.71443415225,0.0
2018-09-11 13:03:00,10.903203470000012,-3.6272359024999994,-10.4031542225,10.376816962500001,67433.99892287864,30322.59099172715,-1.1245195464587043,97756.5899146058,0.0
2018-09-11 13:04:00,10.903203470000012,-3.6272359024999994,-10.4031542225,10.376816962500001,67424.23700934912,30328.06899275022,-4.283912506446549,97752.30600209934,0.0
2018-09-11 13:05:00,10.903203470000012,-3.6272359024999994,-10.4031542225,10.376816962500001,67412.64143745061,30333.839520690806,-5.825043957934104,97746.48095814142,0.0
2018-09-11 13:06:00,10.903203470000012,-3.6272359024999994,-10.4031542225,10.376816962500001,67415.28477838916,30332.702076450907,1.5058966986572977,97747.98685484007,0.0
2018-09-11 13:07:00,10.903203470000012,-3.6272359024999994,-10.4031542225,10.376816962500001,67387.82254986615,30348.28147143724,-11.882833536681199,97736.10402130338,0.0
2018-09-11 13:08:00,10.903203470000012,-3.6272359024999994,-10.4031542225,10.376816962500001,67351.2537030435,30373.026042904537,-11.824275355350098,97724.27974594804,0.0
2018-09-11 13:09:00,10.903203470000012,-4.030817689999999,-10.4031542225,10.376816962500001,64806.345153527516,32914.76892753659,-3.1656648839251758,97721.11408106411,1.2669769174296093
2018-09-11 13:10:00,10.903203470000012,-4.365524144999999,-10.4031542225,10.376816962500001,62710.18047125232,35012.77870307734,1.8450932655528904,97722.95917432966,1.050643562245
2018-09-11 13:11:00,10.903203470000012,-4.690483094999999,-10.4031542225,10.376816962500001,60667.98569590769,37053.19003139808,-1.783447023887566,97721.17572730577,1.0200692973751877
2018-09-11 13:12:00,10.903203470000012,-4.916322624999999,-10.4031542225,10.376816962500001,59253.635398007005,38469.11131804354,1.5709887447698212,97722.74671605055,0.7088670928598876
2018-09-11 13:13:00,10.903203470000012,-5.795848574999999,-10.4031542225,10.376816962500001,53737.27877196264,43986.17763987005,0.7096957821455541,97723.4564118327,2.7604317727427503
2018-09-11 13:14:00,10.903203470000012,-6.283577079999999,-10.4031542225,10.376816962500001,50661.38087863429,47054.136475855885,-7.939057342519064,97715.51735449018,1.5310194051360313
2018-09-11 13:15:00,10.903203470000012,-7.022867829999999,-10.4031542225,10.376816962500001,46015.05789350839,51695.21978720224,-5.239673779556194,97710.27768071063,2.3207981564418754
2018-09-11 13:16:00,10.903203470000012,-7.458513814999999,-10.4031542225,10.376816962500001,43266.493290389575,54433.894258783395,-9.890131537658691,97700.38754917297,1.3677759168052501
2018-09-11 13:17:00,10.903203470000012,-7.901076784999999,-10.4031542225,10.376816962500001,40480.06600085683,57216.77387794296,-3.54767037318259,97696.83987879979,1.3895702772802503
2018-09-11 13:18:00,10.903203470000012,-8.3507961975,-10.4031542225,10.376816962500001,37653.200059049006,60041.83298090591,-1.806838844873678,97695.03303995491,1.4120520594873909
2018-09-11 13:19:00,10.903203470000012,-9.3507961975,-10.4031542225,10.376816962500001,31367.736580620855,66322.73963473659,-4.55682459746593,97690.47621535744,3.1399150000000002
2018-09-11 13:20:00,10.903203470000012,-10.3507961975,-10.4031542225,10.376816962500001,25028.60655169221,72633.07886004992,-28.790803615307745,97661.68541174213,3.1412887499999997
2018-09-11 13:21:00,10.903203470000012,-10.3507961975,-10.4031542225,10.376816962500001,24945.527537330636,72671.53294838536,-44.62492602613216,97617.06048571599,0.0
2018-09-11 13:22:00,10.903203470000012,-10.3507961975,-10.4031542225,10.376816962500001,24934.18896506226,72679.0272051345,-3.8443155192383216,97613.21617019676,0.0
2018-09-11 13:23:00,10.903203470000012,-10.3507961975,-10.4031542225,10.376816962500001,24871.032353689487,72712.44852768064,-29.73528882662824,97583.48088137012,0.0
2018-09-11 13:24:00,10.903203470000012,-10.3507961975,-10.4031542225,10.376816962500001,24844.492952584143,72731.6459984955,-7.341930290483525,97576.13895107964,0.0
2018-09-11 13:25:00,10.903203470000012,-10.3507961975,-10.4031542225,10.376816962500001,24902.131703576975,72705.8733174223,31.86606991964037,97608.00502099928,0.0
2018-09-11 13:26:00,10.903203470000012,-10.3507961975,-10.4031542225,10.376816962500001,24940.69470237565,72684.51757743114,17.207258807503738,97625.21227980679,0.0
2018-09-11 13:27:00,10.903203470000012,-10.3507961975,-10.4031542225,10.376816962500001,24941.007058792457,72684.49242540104,0.28720438670459625,97625.4994841935,0.0
2018-09-11 13:28:00,10.903203470000012,-10.3507961975,-10.4031542225,10.376816962500001,24939.498077849945,72685.24428393976,-0.7571224038021858,97624.7423617897,0.0
2018-09-11 13:29:00,10.903203470000012,-10.3507961975,-10.4031542225,10.376816962500001,24937.00158262666,72688.01766407094,0.27688490789745335,97625.0192466976,0.0
2018-09-11 13:30:00,10.903203470000012,-10.3507961975,-10.4031542225,10.376816962500001,24938.197945362263,72687.3377086771,0.5164073417688716,97625.53565403937,0.0
2018-09-11 13:31:00,10.903203470000012,-10.3507961975,-10.4031542225,10.376816962500001,24949.068899270904,72680.35642102592,3.8896662574503718,97629.42532029682,0.0
2018-09-11 13:32:00,10.903203470000012,-10.3507961975,-10.4031542225,10.376816962500001,25025.16583842141,72642.09778317888,37.83830130346677,97667.26362160029,0.0
2018-09-11 13:33:00,10.903203470000012,-10.3507961975,-10.4031542225,10.376816962500001,25077.511627150496,72615.63557844906,25.88358399927169,97693.14720559955,0.0
2018-09-11 13:34:00,10.903203470000012,-10.3507961975,-10.4031542225,10.376816962500001,25063.897188669303,72622.26120339282,-6.988813537436511,97686.15839206212,0.0
2018-09-11 13:35:00,10.903203470000012,-10.3507961975,-10.4031542225,10.376816962500001,25075.031886495228,72616.69385447985,5.5673489129611164,97691.72574097507,0.0
2018-09-11 13:36:00,10.903203470000012,-10.3507961975,-10.4031542225,10.376816962500001,25014.67941454031,72647.07762679656,-29.968699638205692,97661.75704133687,0.0
2018-09-11 13:37:00,10.903203470000012,-10.3507961975,-10.4031542225,10.376816962500001,24955.67909084416,72676.65561477185,-29.422335720850455,97632.33470561601,0.0
2018-09-11 13:38:00,10.903203470000012,-10.3507961975,-10.4031542225,10.376816962500001,24908.785271847228,72695.816437077,-27.732996691793762,97604.60170892422,0.0
2018-09-11 13:39:00,10.903203470000012,-10.3507961975,-10.4031542225,10.376816962500001,24907.38110781733,72695.2866448365,-1.9339562704021311,97602.66775265383,0.0
2018-09-11 13:40:00,10.903203470000012,-10.3507961975,-10.4031542225,10.376816962500001,24906.964981648416,72698.54892085883,2.846149853418599,97605.51390250724,0.0
2018-09-11 13:41:00,10.903203470000012,-10.3507961975,-10.4031542225,10.376816962500001,24882.634327621316,72712.70013460684,-10.179440279081675,97595.33446222816,0.0
2018-09-11 13:42:00,10.903203470000012,-10.3507961975,-10.4031542225,10.376816962500001,24905.148356511374,72700.60075382542,10.414648108637376,97605.7491103368,0.0
2018-09-11 13:43:00,10.903203470000012,-10.3507961975,-10.4031542225,10.376816962500001,24927.871757436485,72690.9563079094,13.078955009089675,97618.82806534588,0.0
2018-09-11 13:44:00,10.903203470000012,-10.3507961975,-10.4031542225,10.376816962500001,24987.182866808682,72660.24427071631,28.599072179121023,97647.427137525,0.0
2018-09-11 13:45:00,10.903203470000012,-10.3507961975,-10.4031542225,10.376816962500001,25005.303043117325,72650.4547961591,8.330701751427027,97655.75783927643,0.0
2018-09-11 13:46:00,10.903203470000012,-10.3507961975,-10.4031542225,10.376816962500001,25052.317124644193,72620.46692916237,17.026214530139278,97672.78405380656,0.0
2018-09-11 13:47:00,10.903203470000012,-10.3507961975,-10.4031542225,10.376816962500001,25105.631578765082,72588.33873815586,21.186263114374746,97693.97031692094,0.0
2018-09-11 13:48:00,10.903203470000012,-10.3507961975,-10.4031542225,10.376816962500001,25138.764598202077,72569.62016171831,14.414442999443786,97708.38475992039,0.0
2018-09-11 13:49:00,10.903203470000012,-10.3507961975,-10.4031542225,10.376816962500001,25181.999068376157,72547.55927997782,21.173588433587593,97729.55834835398,0.0
2018-09-11 13:50:00,10.903203470000012,-10.3507961975,-10.4031542225,10.376816962500001,25201.01215186782,72537.70496395056,9.158767464401315,97738.71711581838,0.0
2018-09-11 13:51:00,10.903203470000012,-10.3507961975,-10.4031542225,10.376816962500001,25201.68835689228,72537.4552152957,0.42645636959939115,97739.14357218798,0.0
2018-09-11 13:52:00,10.903203470000012,-10.3507961975,-10.4031542225,10.376816962500001,25179.520898461633,72548.40923429899,-11.213439427354368,97727.93013276062,0.0
2018-09-11 13:53:00,10.903203470000012,-10.3507961975,-10.4031542225,10.376816962500001,25147.935786232003,72566.63564898349,-13.358697545126041,97714.57143521549,0.0
2018-09-11 13:54:00,10.903203470000012,-10.3507961975,-10.4031542225,10.376816962500001,25141.9318008572,72568.16570920244,-4.4739251558484225,97710.09751005964,0.0
2018-09-11 13:55:00,10.903203470000012,-10.3507961975,-10.4031542225,10.376816962500001,25189.67986256242,72542.35635973391,21.938712236689824,97732.03622229633,0.0
2018-09-11 13:56:00,10.903203470000012,-10.3507961975,-10.4031542225,10.376816962500001,25230.886241243352,72518.518679125,17.368698072017978,97749.40492036835,0.0
2018-09-11 13:57:00,10.903203470000012,-10.3507961975,-10.4031542225,10.376816962500001,25207.330064400157,72527.98641664056,-14.088439327629526,97735.31648104072,0.0
2018-09-11 13:58:00,10.903203470000012,-10.3507961975,-10.4031542225,10.376816962500001,25199.865267465822,72529.28100863924,-6.170204935647808,97729.14627610506,0.0
2018-09-11 13:59:00,10.903203470000012,-10.3507961975,-10.4031542225,10.376816962500001,25193.0512014501,72531.96485779258,-4.130216862374822,97725.01605924268,0.0
2018-09-11 14:00:00,10.903203470000012,-10.3507961975,-10.4031542225,10.376816962500001,25192.530781948837,72531.31935070857,-1.1659265852790472,97723.8501326574,0.0
