,BCH-USD,BTC-USD,ETH-USD,LTC-USD,cash_balance,crypto_balance,revenue,total_balance,transaction_cost
2018-09-28 06:02:00,-20.41129124183106,-11.564591845597533,-21.05972099095093,-22.366923332214355,2813.9152032503043,95326.82182823845,-23.161882007235654,98140.73703148875,0.0
2018-09-28 06:03:00,-20.41129124183106,-11.564591845597533,-21.05972099095093,-22.366923332214355,2774.243107891918,95346.65787591765,-19.83604767918338,98120.90098380957,0.0
2018-09-28 06:04:00,-20.41129124183106,-11.564591845597533,-21.05972099095093,-22.366923332214355,2705.0266260439967,95381.26611684161,-34.60824092396194,98086.2927428856,0.0
2018-09-28 06:05:00,-20.41129124183106,-11.564591845597533,-21.05972099095093,-22.366923332214355,2607.650642579465,95429.95410857387,-48.68799173225958,98037.60475115334,0.0
2018-09-28 06:06:00,-20.41129124183106,-11.564591845597533,-21.05972099095093,-22.366923332214355,2446.57185716377,95510.49350128171,-80.53939270785256,97957.06535844548,0.0
2018-09-28 06:07:00,-20.41129124183106,-11.564591845597533,-21.05972099095093,-22.366923332214355,2170.1273171459325,95648.71577129063,-138.222270008921,97818.84308843657,0.0
2018-09-28 06:08:00,-20.41129124183106,-11.564591845597533,-21.05972099095093,-22.366923332214355,1972.1610255359265,95747.69891709564,-98.98314580500148,97719.85994263156,0.0
2018-09-28 06:09:00,-20.41129124183106,-11.564591845597533,-21.05972099095093,-22.366923332214355,1922.182887471543,95772.68798612783,-24.989069032194042,97694.87087359937,0.0
2018-09-28 06:10:00,-20.41129124183106,-11.564591845597533,-21.05972099095093,-22.366923332214355,1764.8776520030951,95851.34060386206,-78.65261773422121,97616.21825586515,0.0
2018-09-28 06:11:00,-20.41129124183106,-11.564591845597533,-21.05972099095093,-22.366923332214355,1421.2561810244079,96023.1513393514,-171.81073548934606,97444.40752037581,0.0
2018-09-28 06:12:00,-20.41129124183106,-11.564591845597533,-21.05972099095093,-22.366923332214355,1497.1153548541188,95985.22175243654,37.92958691485517,97482.33710729066,0.0
2018-09-28 06:13:00,-20.41129124183106,-11.564591845597533,-21.05972099095093,-22.366923332214355,1637.0641666650918,95915.24734653106,69.97440590549017,97552.31151319615,0.0
2018-09-28 06:14:00,-20.41129124183106,-11.564591845597533,-21.05972099095093,-22.366923332214355,1787.693006752219,95839.9329264875,75.31442004355856,97627.62593323972,0.0
